ao_id,ao,post_count,points,type
C02AC8PS1T7,ao-the-colosseum,2363,3,1stf
C02B4U0M71N,ao-the-ridge,2211,3,1stf
C017KB6LEP7,downrange,1176,3,1stf
C04PLDCTSJV,ao-the-grove,683,3,1stf
C04P7LRFBTM,ao-the-silo,662,3,1stf
C02DNLUQN9Y,ao-black-diamond,569,4,1stf
C06SUFPUNTZ,ao-el-coyote,566,3,1stf
C02A0HGC4PR,ao-the-olympiad,541,3,1stf
C0329PXMA6T,ao-da-grizz,513,3,1stf
C06FH4FCF5Y,ao-ravens-nest,387,3,1stf
C059PJF5NTU,ao-dmz,268,3,1stf
C08TMRRJYV7,ao-black-rock,112,3,1stf
C017CTS0UQG,2nd-f,748,3,2ndf
C03KZ95AS75,3rd-f-qsource,239,4,qs
C0168ASEPD5,3rd-f,165,5,3rdf
C05H4DHU3HC,2nd-f-coffeteria,1356,0,none
TBDEC100000,rg_ec1,0,1,ec
C09BCTEBDE2,rg_ec2,4,2,ec
TBDEC300000,rg_ec3,0,3,ec
TBD0001FLAG,rg_challenge_flag,999,1,challenge_flag
TBD001CSAUP,rg_csaup,999,40,csaup
