Date,AO,Q,parsed_backblast,region
"Sep 9, 2025",ao-three-rivers-pm,Norm,"Football Bootcamp 
",f3cha-min-wood
"Sep 9, 2025",ao-black-rock,Sparkler,"Sparklers Donut Dash
",f3crossroads
"Sep 9, 2025",downrange,F3CrossroadsIL,"Snake Pit Fort Mill KB
",f3crossroads
"Sep 9, 2025",ao-black-diamond,Bedpan,"coupons and sandbags 
",f3crossroads
"Sep 9, 2025",ao-the-wood,Picasso,"Scout Towne Center Run
",f3cha-min-wood
"Sep 9, 2025",2nd-f,Finch,"Bears Home Opener
",f3cha-min-wood
"Sep 9, 2025",ao-the-colosseum,Singer,"Singers double circuit. 
",f3crossroads
"Sep 9, 2025",ao-three-rivers,Binford,"4 Corners
",f3cha-min-wood
"Sep 9, 2025",ao-dmz,Dilbert,"Dilberts BC
",f3crossroads
"Sep 8, 2025",ao-the-wood,Rooney,"Iron pax week 1
",f3cha-min-wood
"Sep 8, 2025",downrange,Duck Hunt,"Arms day with some legs cuz why not
",f3crossroads
"Sep 8, 2025",ao-the-silo,Nemo,"Nemo’s World
",f3crossroads
"Sep 8, 2025",2nd-f-coffeteria,Nemo,"Full moon rising! S&D with the coffee. Topic  today ",f3crossroads
"Sep 8, 2025",ao-the-ridge,Hatchet (Lizard Q),"Make them shoulders cry BC
",f3crossroads
"Sep 8, 2025",2nd-f-coffeteria,Foundation,"Foundation's coffee crew The Grove
",f3crossroads
"Sep 8, 2025",ao-the-colosseum,Depends (3rdF Q),"It Depends on Which Route You Take 
",f3crossroads
"Sep 8, 2025",ao-the-grove,Foundation,"Twilight Part 3: Breaking Wind
",f3crossroads
"Sep 8, 2025",ao-the-island,Squidward,"“Gilligans” Island RESPECT boot camp
",f3cha-min-wood
"Sep 8, 2025",downrange,Slackbot,"Mobility and breath work at the Globe with El Guapo
",f3crossroads
"Sep 7, 2025",2nd-f,Schlitz,"Return of Xerox and the ? ruck
",f3crossroads
"Sep 6, 2025",downrange,Puddles,"Morris black ops
",f3cha-min-wood
"Sep 6, 2025",downrange,Bob Villa,"Bob Villas BD Lift Club
",f3crossroads
"Sep 6, 2025",ao-the-wood,Binford,"Ruck Around and Find Out
",f3cha-min-wood
"Sep 6, 2025",ao-three-rivers,Binford,"Ruck Around and Find Out
",f3cha-min-wood
"Sep 6, 2025",downrange,F3CrossroadsIL,"Buzzsaw Trail Run
",f3crossroads
"Sep 6, 2025",ao-the-colosseum,Celler Dweller,"Iron Pax 0
",f3crossroads
"Sep 6, 2025",ao-the-olympiad,Pull-up,"Getting in Miles
",f3crossroads
"Sep 6, 2025",ao-the-ridge,Old Maid,"Old Maid's Ultimate Football week 4
",f3crossroads
"Sep 6, 2025",downrange,Hanger,"Ruck club Binford 
",f3crossroads
"Sep 6, 2025",2nd-f,Hatchet (Lizard Q),"Imperial Oak social ride
",f3crossroads
"Sep 6, 2025",ao-da-grizz,Schlitz,"Schlitz' Amtrak Ruck
",f3crossroads
"Sep 6, 2025",ao-black-diamond,Bob Villa (F3 Plainfield),"Bob Villa 2x2:1 Tabata Pump
",f3cha-min-wood
"Sep 6, 2025",downrange,Binford,"The Woods Saturday Ruck Club/PT
",f3crossroads
"Sep 5, 2025",ao-the-colosseum,Soft Hands,"Friday BC
",f3crossroads
"Sep 5, 2025",2nd-f-coffeteria,Hanger,"Foundation BC
",f3crossroads
"Sep 5, 2025",ao-the-island,Ricola,"Iron Pax Challenge - Week 0 - at the ?️
",f3cha-min-wood
"Sep 5, 2025",ao-da-grizz,Party in a bottle,"Cheers! Bottles up!
",f3crossroads
"Sep 5, 2025",ao-the-grove,Den Mother,"Den Mother's and Soft Hands AO Collab Run/ Bootcamp
",f3crossroads
"Sep 5, 2025",ao-three-rivers,Flamingo,"Deck of Death vs Flamingo’s Fun Box
",f3cha-min-wood
"Sep 5, 2025",2nd-f,Dear Abby,"First Friday's at Werk Force
",f3crossroads
"Sep 5, 2025",downrange,Plunger,"Welcome to the Circus!!
",f3cha-min-wood
"Sep 5, 2025",2nd-f-coffeteria,Sizzler,"Sizzler and Sparkler bring the JOLT! CAFFEINE!
",f3crossroads
"Sep 5, 2025",rg_ec1,Pull-up,"EC 3.14
",f3crossroads
"Sep 5, 2025",2nd-f-coffeteria,Ricola,"3Riv 9/5/25 
",f3cha-min-wood
"Sep 5, 2025",ao-the-ridge,Foundation,"no crazy foundation movements 
",f3crossroads
"Sep 4, 2025",ao-the-olympiad,Chum Bucket,"Iron Pax Week 0 at the Olympiad
",f3crossroads
"Sep 4, 2025",ao-the-wood,Flamingo,"Flamingo’s Ruck
",f3cha-min-wood
"Sep 4, 2025",ao-the-colosseum,Spit Valve,"Spit valves Leg Day
",f3crossroads
"Sep 4, 2025",ao-el-coyote,Hot Lava,"Hot Lava AO Beatdown
",f3crossroads
"Sep 4, 2025",downrange,Slackbot,"Uncle Rico’s Double black diamond GTE training 
",f3crossroads
"Sep 4, 2025",rg_ec3,YellowPages,"EC3 Run RG
",f3crossroads
"Sep 4, 2025",ao-black-diamond,Foreclosure,"Left, right, left.  Left, right, left. 
",f3crossroads
"Sep 4, 2025",ao-the-campus,Crabgrass,"The Best Stargazing in the Region
",f3cha-min-wood
"Sep 4, 2025",3rd-f-qsource,TruGreen,"Q3.9 Commitment 
",f3crossroads
"Sep 4, 2025",ao-the-ridge,Bedpan,"Bedpan - Pearls To Each Pavillion
",f3crossroads
"Sep 3, 2025",ao-three-rivers-pm,Finch,"upper body blast
",f3cha-min-wood
"Sep 3, 2025",downrange,Italian Ice,"Morning BC F3 Southsid3@Woodsh3d
",f3crossroads
"Sep 3, 2025",downrange,Caboose,"SLT6 Ruck
",f3crossroads
"Sep 3, 2025",ao-black-diamond,Spike Horn,"Spikehorn’s Swolercoaster of Love ??????
",f3cha-min-wood
"Sep 3, 2025",ao-the-silo,Celler Dweller,"Celler Dweller’s Training for Life
",f3crossroads
"Sep 3, 2025",ao-the-wood,Rooney,"Prep for iron pax challenge led by rooney
",f3cha-min-wood
"Sep 3, 2025",downrange,FINCH,"Finch Upper Body BC
",f3crossroads
"Sep 3, 2025",ao-ravens-nest,Hank Hill,"Hank Hill@ IPC Week 0
",f3crossroads
"Sep 3, 2025",ao-the-colosseum,Jellystone,"Jelly’s Gauntlet Ruck Club
",f3crossroads
"Sep 3, 2025",downrange,Slackbot,"The Wood BD Swolercoaster
",f3crossroads
"Sep 3, 2025",ao-the-ridge,Broomstick,"Triple Thang Run Around
",f3crossroads
"Sep 3, 2025",2nd-f-coffeteria,Hanger,"Week 0 Hank Hill
",f3crossroads
