user_name,Team,week,ao_list,1stf,2ndf,3rdf,ec
Derailed,Blitzen,0,,0,0,0,0
Derailed,Blitzen,1,the-grove,3,0,0,3
Derailed,Blitzen,2,,0,0,0,0
Derailed,Blitzen,3,,0,0,0,0
Derailed,Blitzen,4,,0,0,0,0
Derailed,Blitzen,5,,0,0,0,0
Derailed,Blitzen,6,,0,0,0,0
Foundation,Blitzen,0,,0,0,0,0
Foundation,Blitzen,1,,0,0,0,2
Foundation,Blitzen,2,,0,0,0,0
Foundation,Blitzen,3,,0,0,0,0
Foundation,Blitzen,4,,0,0,0,0
Foundation,Blitzen,5,,0,0,0,0
Foundation,Blitzen,6,,0,0,0,0
Gopher,Blitzen,0,the-colosseum,3,5,0,0
Gopher,Blitzen,1,the-colosseum,3,0,0,1
Gopher,Blitzen,2,,0,0,0,0
Gopher,Blitzen,3,,0,0,0,0
Gopher,Blitzen,4,,0,0,0,0
Gopher,Blitzen,5,,0,0,0,0
Gopher,Blitzen,6,,0,0,0,0
Ink Jet,Blitzen,0,,0,0,0,0
Ink Jet,Blitzen,1,,0,0,0,0
Ink Jet,Blitzen,2,,0,0,0,0
Ink Jet,Blitzen,3,,0,0,0,0
Ink Jet,Blitzen,4,,0,0,0,0
Ink Jet,Blitzen,5,,0,0,0,0
Ink Jet,Blitzen,6,,0,0,0,0
Intern,Blitzen,0,,0,0,0,0
Intern,Blitzen,1,,0,0,0,0
Intern,Blitzen,2,,0,0,0,0
Intern,Blitzen,3,,0,0,0,0
Intern,Blitzen,4,,0,0,0,0
Intern,Blitzen,5,,0,0,0,0
Intern,Blitzen,6,,0,0,0,0
Just Dance,Blitzen,0,the-colosseum,6,5,0,3
Just Dance,Blitzen,1,the-colosseum,3,0,0,3
Just Dance,Blitzen,2,,0,0,0,0
Just Dance,Blitzen,3,,0,0,0,0
Just Dance,Blitzen,4,,0,0,0,0
Just Dance,Blitzen,5,,0,0,0,0
Just Dance,Blitzen,6,,0,0,0,0
Kidney Beans,Blitzen,0,the-colosseum,3,5,0,0
Kidney Beans,Blitzen,1,the-grove,3,0,0,3
Kidney Beans,Blitzen,2,,0,0,0,0
Kidney Beans,Blitzen,3,,0,0,0,0
Kidney Beans,Blitzen,4,,0,0,0,0
Kidney Beans,Blitzen,5,,0,0,0,0
Kidney Beans,Blitzen,6,,0,0,0,0
Morticia,Blitzen,0,the-colosseum,3,5,0,0
Morticia,Blitzen,1,the-grove,3,0,0,0
Morticia,Blitzen,2,,0,0,0,0
Morticia,Blitzen,3,,0,0,0,0
Morticia,Blitzen,4,,0,0,0,0
Morticia,Blitzen,5,,0,0,0,0
Morticia,Blitzen,6,,0,0,0,0
Pee Wee Herman,Blitzen,0,the-colosseum,6,5,0,0
Pee Wee Herman,Blitzen,1,the-grove,3,0,0,0
Pee Wee Herman,Blitzen,2,,0,0,0,0
Pee Wee Herman,Blitzen,3,,0,0,0,0
Pee Wee Herman,Blitzen,4,,0,0,0,0
Pee Wee Herman,Blitzen,5,,0,0,0,0
Pee Wee Herman,Blitzen,6,,0,0,0,0
Pretzel,Blitzen,0,,0,0,0,0
Pretzel,Blitzen,1,,0,0,0,0
