user,team,week,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,workout Q,QSQ,hardsh!t,ao_list
Derailed,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Derailed,Blitzen,1,3,3,0,0,0,0,0,0,0,0,0,0,the-grove
Derailed,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Derailed,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Derailed,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Derailed,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Derailed,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,1,2,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Foundation,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Gopher,Blitzen,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Gopher,Blitzen,1,1,3,0,0,0,0,0,0,0,0,0,0,the-colosseum
Gopher,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Gopher,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Gopher,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Gopher,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Gopher,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,1,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Ink Jet,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,1,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Intern,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Just Dance,Blitzen,0,3,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
Just Dance,Blitzen,1,3,3,0,0,0,0,0,0,0,0,0,0,the-colosseum
Just Dance,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Just Dance,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Just Dance,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Just Dance,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Just Dance,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Kidney Beans,Blitzen,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Kidney Beans,Blitzen,1,3,3,0,0,0,0,0,0,0,0,0,0,the-grove
Kidney Beans,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Kidney Beans,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Kidney Beans,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Kidney Beans,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Kidney Beans,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Morticia,Blitzen,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Morticia,Blitzen,1,0,6,0,0,0,0,0,0,0,0,0,0,"the-colosseum, the-grove"
Morticia,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Morticia,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Morticia,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Morticia,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Morticia,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
