user_id,user_name,first_date,first_week,post_count
U0171K8109F,F3CrossroadsIL,2025-11-01,0,3
U017HR91AJG,SoccerMom,2025-11-03,1,2
U01A2DRTKSN,Push Social Content to slack,2025-11-03,1,1
U01ARKFCDGU,Tee Ball,2025-11-03,1,1
U03TL1GG31B,Freon,2025-11-01,0,1
U04M8MS2WHJ,FINCH,2025-11-01,0,1
U058C88BUDD,T-Dubs (Outlands),2025-11-01,0,1
U06AWCQ0E9Z,slackblast,2025-11-03,1,1
U06GX3VRNKU,BORG,2025-11-03,1,1
U06HEUK00QZ,Preacher,2025-11-01,0,1
U0709PKBJ0Y,Dutch Boy,2025-11-01,0,0
U08TAFQ4S0M,ATF,2025-11-03,1,1
U093QHS5CV6,Martha Stewart,2025-11-03,1,1
U097B8S352S,Ferkus,2025-11-02,1,0
U09PYQURP8X,Hot Pants,2025-11-03,1,2
U09Q74ECF54,Pit Boss,2025-11-01,0,2
U09QZ34QXFS,Matlock (F3 Rockford),2025-11-01,0,1
USLACKBOT,Slackbot,2025-11-02,1,1
USLACKSECURITY,Unknown Name,2025-11-03,1,1
