user,team,week,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,hardsh!t,ao_list
Derailed,Blitzen,0,,,,,,,,,,,,,
Derailed,Blitzen,1,8,9,,,,,,,,,,,"the-colosseum, the-grove"
Derailed,Blitzen,2,,,,,,,,,,,,,
Derailed,Blitzen,3,,,,,,,,,,,,,
Derailed,Blitzen,4,,,,,,,,,,,,,
Derailed,Blitzen,5,,,,,,,,,,,,,
Derailed,Blitzen,6,,,,,,,,,,,,,
Foundation,Blitzen,0,,,,,,,,,,,,,
Foundation,Blitzen,1,2,,,,,,,,,,,,
Foundation,Blitzen,2,,,,,,,,,,,,,
Foundation,Blitzen,3,,,,,,,,,,,,,
Foundation,Blitzen,4,,,,,,,,,,,,,
Foundation,Blitzen,5,,,,,,,,,,,,,
Foundation,Blitzen,6,,,,,,,,,,,,,
Gopher,Blitzen,0,,3,,,,,,5,,,,,the-colosseum
Gopher,Blitzen,1,3,6,,,,,,,,,,,"the-colosseum, the-ridge"
Gopher,Blitzen,2,,,,,,,,,,,,,
Gopher,Blitzen,3,,,,,,,,,,,,,
Gopher,Blitzen,4,,,,,,,,,,,,,
Gopher,Blitzen,5,,,,,,,,,,,,,
Gopher,Blitzen,6,,,,,,,,,,,,,
Ink Jet,Blitzen,0,,,,,,,,,,,,,
Ink Jet,Blitzen,1,,,,,,,,,,,,,
Ink Jet,Blitzen,2,,,,,,,,,,,,,
Ink Jet,Blitzen,3,,,,,,,,,,,,,
Ink Jet,Blitzen,4,,,,,,,,,,,,,
Ink Jet,Blitzen,5,,,,,,,,,,,,,
Ink Jet,Blitzen,6,,,,,,,,,,,,,
Intern,Blitzen,0,,,,,,,,,,,,,
Intern,Blitzen,1,,,,,,,,,,,,,
Intern,Blitzen,2,,,,,,,,,,,,,
Intern,Blitzen,3,,,,,,,,,,,,,
Intern,Blitzen,4,,,,,,,,,,,,,
Intern,Blitzen,5,,,,,,,,,,,,,
Intern,Blitzen,6,,,,,,,,,,,,,
Just Dance,Blitzen,0,3,6,,,,,,5,,,,,the-colosseum
Just Dance,Blitzen,1,9,9,,,,,,,3,,,,"the-colosseum, the-grove, the-ridge"
Just Dance,Blitzen,2,,,,,,,,,,,,,
Just Dance,Blitzen,3,,,,,,,,,,,,,
Just Dance,Blitzen,4,,,,,,,,,,,,,
Just Dance,Blitzen,5,,,,,,,,,,,,,
Just Dance,Blitzen,6,,,,,,,,,,,,,
Kidney Beans,Blitzen,0,,3,,,,,,5,,,,,the-colosseum
Kidney Beans,Blitzen,1,6,9,,,,,,,,,,,"el-coyote, the-colosseum, the-grove"
Kidney Beans,Blitzen,2,,,,,,,,,,,,,
Kidney Beans,Blitzen,3,,,,,,,,,,,,,
Kidney Beans,Blitzen,4,,,,,,,,,,,,,
Kidney Beans,Blitzen,5,,,,,,,,,,,,,
Kidney Beans,Blitzen,6,,,,,,,,,,,,,
Morticia,Blitzen,0,,3,,,,,,5,,,,,the-colosseum
Morticia,Blitzen,1,3,12,,,,,,,,,,,"dmz, the-colosseum, the-grove, the-ridge"
Morticia,Blitzen,2,,,,,,,,,,,,,
Morticia,Blitzen,3,,,,,,,,,,,,,
Morticia,Blitzen,4,,,,,,,,,,,,,
Morticia,Blitzen,5,,,,,,,,,,,,,
Morticia,Blitzen,6,,,,,,,,,,,,,
Pee Wee Herman,Blitzen,0,,6,,,,,,5,,,,,the-colosseum
Pee Wee Herman,Blitzen,1,,15,,,,,5,,,,,,"dmz, the-colosseum, the-grove"
Pee Wee Herman,Blitzen,2,,,,,,,,,,,,,
Pee Wee Herman,Blitzen,3,,,,,,,,,,,,,
Pee Wee Herman,Blitzen,4,,,,,,,,,,,,,
Pee Wee Herman,Blitzen,5,,,,,,,,,,,,,
Pee Wee Herman,Blitzen,6,,,,,,,,,,,,,
Pretzel,Blitzen,0,,,,,,,,,,,,,
Pretzel,Blitzen,1,,,,,,,,,,,,,
Pretzel,Blitzen,2,,,,,,,,,,,,,
Pretzel,Blitzen,3,,,,,,,,,,,,,
Pretzel,Blitzen,4,,,,,,,,,,,,,
Pretzel,Blitzen,5,,,,,,,,,,,,,
Pretzel,Blitzen,6,,,,,,,,,,,,,
Sailer Moon,Blitzen,0,,,,,,,,,,,,,
Sailer Moon,Blitzen,1,,3,,,,,,,,,,,ravens-nest
Sailer Moon,Blitzen,2,,,,,,,,,,,,,
Sailer Moon,Blitzen,3,,,,,,,,,,,,,
Sailer Moon,Blitzen,4,,,,,,,,,,,,,
Sailer Moon,Blitzen,5,,,,,,,,,,,,,
Sailer Moon,Blitzen,6,,,,,,,,,,,,,
Schlitz,Blitzen,0,,6,,,,3,,5,,,,,the-colosseum
Schlitz,Blitzen,1,6,9,,,,3,5,5,3,1,,,"el-coyote, the-grove"
Schlitz,Blitzen,2,,,,,,,,,,,,,
Schlitz,Blitzen,3,,,,,,,,,,,,,
Schlitz,Blitzen,4,,,,,,,,,,,,,
Schlitz,Blitzen,5,,,,,,,,,,,,,
Schlitz,Blitzen,6,,,,,,,,,,,,,
Senor Frog,Blitzen,0,,,,,,,,,,,,,
Senor Frog,Blitzen,1,,,,,,,,,,,,,
Senor Frog,Blitzen,2,,,,,,,,,,,,,
Senor Frog,Blitzen,3,,,,,,,,,,,,,
Senor Frog,Blitzen,4,,,,,,,,,,,,,
Senor Frog,Blitzen,5,,,,,,,,,,,,,
Senor Frog,Blitzen,6,,,,,,,,,,,,,
SkidMark,Blitzen,0,,,,,,,,,,,,,
SkidMark,Blitzen,1,6,9,,,,,,,,,,,"dmz, the-grove, the-ridge"
SkidMark,Blitzen,2,,,,,,,,,,,,,
SkidMark,Blitzen,3,,,,,,,,,,,,,
SkidMark,Blitzen,4,,,,,,,,,,,,,
SkidMark,Blitzen,5,,,,,,,,,,,,,
SkidMark,Blitzen,6,,,,,,,,,,,,,
Woody,Blitzen,0,,,,,,,,,,,,,
Woody,Blitzen,1,2,9,,,,,5,,,,,,"dmz, the-grove, the-ridge"
Woody,Blitzen,2,,,,,,,,,,,,,
Woody,Blitzen,3,,,,,,,,,,,,,
Woody,Blitzen,4,,,,,,,,,,,,,
Woody,Blitzen,5,,,,,,,,,,,,,
Woody,Blitzen,6,,,,,,,,,,,,,
Xena- Warrior Princess,Blitzen,0,,6,,,,,,5,,,,,the-colosseum
Xena- Warrior Princess,Blitzen,1,,9,,,,3,5,,3,,,,the-colosseum
Xena- Warrior Princess,Blitzen,2,,,,,,,,,,,,,
Xena- Warrior Princess,Blitzen,3,,,,,,,,,,,,,
Xena- Warrior Princess,Blitzen,4,,,,,,,,,,,,,
Xena- Warrior Princess,Blitzen,5,,,,,,,,,,,,,
Xena- Warrior Princess,Blitzen,6,,,,,,,,,,,,,
Algorithm,Comet,0,3,6,,,,3,,5,,,,,the-colosseum
Algorithm,Comet,1,,9,,,,,5,5,,1,,10,"the-colosseum, the-olympiad, the-ridge"
Algorithm,Comet,2,,,,,,,,,,,,,
Algorithm,Comet,3,,,,,,,,,,,,,
Algorithm,Comet,4,,,,,,,,,,,,,
Algorithm,Comet,5,,,,,,,,,,,,,
Algorithm,Comet,6,,,,,,,,,,,,,
Bambino,Comet,0,3,3,,,,3,,5,,,,,the-colosseum
Bambino,Comet,1,,6,,,,,5,5,3,,,,el-coyote
Bambino,Comet,2,,,,,,,,,,,,,
Bambino,Comet,3,,,,,,,,,,,,,
Bambino,Comet,4,,,,,,,,,,,,,
Bambino,Comet,5,,,,,,,,,,,,,
Bambino,Comet,6,,,,,,,,,,,,,
Bob Villa,Comet,0,3,6,,,,,,5,,,,,the-colosseum
Bob Villa,Comet,1,14,27,5,7,,,5,,3,1,,,"black-rock, el-coyote, the-grove, the-olympiad, the-silo"
Bob Villa,Comet,2,,,,,,,,,,,,,
Bob Villa,Comet,3,,,,,,,,,,,,,
Bob Villa,Comet,4,,,,,,,,,,,,,
Bob Villa,Comet,5,,,,,,,,,,,,,
Bob Villa,Comet,6,,,,,,,,,,,,,
Choco Taco,Comet,0,,3,,,,,,5,,,,,the-colosseum
Choco Taco,Comet,1,12,9,,,,3,5,5,3,,,10,"el-coyote, the-ridge"
Choco Taco,Comet,2,,,,,,,,,,,,,
Choco Taco,Comet,3,,,,,,,,,,,,,
Choco Taco,Comet,4,,,,,,,,,,,,,
Choco Taco,Comet,5,,,,,,,,,,,,,
Choco Taco,Comet,6,,,,,,,,,,,,,
DJ Sump Pump,Comet,0,,3,,,,3,,5,,,,,the-colosseum
DJ Sump Pump,Comet,1,,9,,,,,,,3,,,,"dmz, the-ridge"
DJ Sump Pump,Comet,2,,,,,,,,,,,,,
DJ Sump Pump,Comet,3,,,,,,,,,,,,,
DJ Sump Pump,Comet,4,,,,,,,,,,,,,
DJ Sump Pump,Comet,5,,,,,,,,,,,,,
DJ Sump Pump,Comet,6,,,,,,,,,,,,,
Danica,Comet,0,,,,,,,,,,,,,
Danica,Comet,1,,12,,,,,,,3,,,,"the-grove, the-olympiad, the-ridge, the-silo"
Danica,Comet,2,,,,,,,,,,,,,
Danica,Comet,3,,,,,,,,,,,,,
Danica,Comet,4,,,,,,,,,,,,,
Danica,Comet,5,,,,,,,,,,,,,
Danica,Comet,6,,,,,,,,,,,,,
Dauber,Comet,0,3,6,,,5,3,,5,,,,,the-colosseum
Dauber,Comet,1,12,33,,9,,,5,5,3,,1,10,"el-coyote, the-colosseum, the-olympiad, the-silo"
Dauber,Comet,2,,,,,,,,,,,,,
Dauber,Comet,3,,,,,,,,,,,,,
Dauber,Comet,4,,,,,,,,,,,,,
