week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
1,Comet,Dauber,96,18,39,5,11,5,3,5,5,3,1,1,"el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Comet,Mahomes,92,18,36,5,10,5,3,5,5,3,1,1,"el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Comet,Hot Lava,91,18,36,5,10,5,3,5,5,3,1,,"black-rock, da-grizz, dmz, el-coyote, the-colosseum, the-olympiad"
1,Comet,Manhole,91,18,36,5,10,5,3,5,5,3,1,,"black-rock, da-grizz, dmz, el-coyote, the-colosseum, the-olympiad"
1,Comet,Meta,91,18,36,5,10,5,3,5,5,3,1,,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Dasher,Dog House,91,18,37,5,10,5,3,5,5,3,,,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge"
1,Comet,Bob Villa,84,18,33,5,9,5,,5,5,3,1,,"black-rock, el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge, the-silo"
1,Prancer,Depends (3rdF Q),81,16,30,5,8,5,3,5,5,3,,1,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad, the-silo"
1,Dancer,Hodl,80,16,30,5,8,5,3,5,5,3,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Prancer,Hank Hill,80,15,30,5,8,5,3,5,5,3,1,,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Prancer,Spit Valve,80,18,27,5,7,5,3,5,5,3,1,1,"da-grizz, el-coyote, the-colosseum, the-grove, the-silo"
1,Prancer,Nemo,79,18,27,5,7,5,3,5,5,3,1,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-silo"
1,Dasher,Scratch and Dent,75,14,28,5,7,5,3,5,5,3,,,"black-rock, el-coyote, the-colosseum, the-grove, the-olympiad, the-silo"
1,Donner,Storm Chaser,74,15,30,5,8,5,3,5,,3,,,"black-rock, da-grizz, ravens-nest, the-colosseum, the-olympiad"
1,Cupid,Duck Hunt,71,18,25,5,6,,3,5,5,3,1,,"black-diamond, da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad"
1,Dasher,Zimmer,70,14,28,5,7,5,3,5,,3,,,"black-rock, el-coyote, the-colosseum, the-grove, the-olympiad, the-silo"
1,Prancer,YellowPages,69,16,21,5,5,5,3,5,5,3,,1,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Dancer,Cutler,67,16,24,5,6,,3,5,5,3,,,"black-rock, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Dasher,Doozie,67,14,25,5,6,,3,5,5,3,1,,"black-diamond, black-rock, el-coyote, the-colosseum, the-grove, the-silo"
1,Prancer,Boomer,65,13,21,5,5,5,3,5,5,3,,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Donner,Chum Bucket,63,11,21,5,5,5,3,5,5,3,,,"el-coyote, the-colosseum, the-grove, the-ridge, the-silo"
1,Dancer,Dear Abby,62,15,21,5,5,,3,5,5,3,,,"black-rock, el-coyote, the-olympiad, the-ridge, the-silo"
1,Rudolph,Ringo,62,9,21,5,5,5,3,5,5,3,1,,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Dancer,Pop-Tart,61,10,24,5,6,,3,5,5,3,,,"black-rock, el-coyote, the-olympiad, the-ridge, the-silo"
