date,week,Team,user_name,ao,type,points,notes
2024-11-02,0.0,Donner,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-02,0.0,Donner,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-04,1.0,Donner,Bedpan,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-05,1.0,Donner,Bedpan,ao-dmz,1stf,3.0,ao-dmz
2024-11-07,1.0,Donner,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-08,1.0,Donner,Bedpan,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Donner,Bedpan,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Donner,Bedpan,3rd-f,3rdf,5.0,"Ready, Set, Ride, Therapeutic Stables Winterizatio..."
2024-11-11,2.0,Donner,Bedpan,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-12,2.0,Donner,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-13,2.0,Donner,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-14,2.0,Donner,Bedpan,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-15,2.0,Donner,Bedpan,,Around The World,5.0,"('ao-black-diamond', 'ao-the-olympiad', 'ao-the-grove', 'ao-the-colosseum', 'ao-the-ridge')"
2024-11-15,2.0,Donner,Bedpan,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-16,2.0,Donner,Bedpan,,sixpack bonus,4.0,"('ao-the-grove', 'ao-the-ridge', 'ao-the-colosseum', 'ao-black-diamond', 'ao-the-olympiad', 'ao-da-grizz')"
2024-11-16,2.0,Donner,Bedpan,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-16,2.0,Donner,Bedpan,3rd-f,3rdf,5.0,"Ready, Set, Ride #2 Workday"
2024-11-19,3.0,Donner,Bedpan,ao-dmz,1stf,3.0,ao-dmz
2024-11-21,3.0,Donner,Bedpan,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-22,3.0,Donner,Bedpan,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-24,4.0,Donner,Bedpan,2nd-f,2ndf,3.0,Mumble chatter at the rookery
2024-11-24,4.0,Donner,Bedpan,3rd-f,3rdf,5.0,Allen Force Joliet moving project/clean up
2024-11-25,4.0,Donner,Bedpan,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-26,4.0,Donner,Bedpan,ao-dmz,1stf,3.0,ao-dmz
2024-11-27,4.0,Donner,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-28,4.0,Donner,Bedpan,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-29,4.0,Donner,Bedpan,,Around The World,5.0,"('ao-the-olympiad', 'ao-the-grove', 'ao-dmz', 'ao-the-colosseum', 'ao-the-ridge')"
2024-11-29,4.0,Donner,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-30,4.0,Donner,Bedpan,,sixpack bonus,4.0,"('ao-the-grove', 'ao-dmz', 'ao-the-colosseum', 'ao-the-olympiad', 'ao-the-ridge', 'ao-the-ridge')"
2024-11-30,4.0,Donner,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-02,5.0,Donner,Bedpan,ao-the-grove,1stf,3.0,ao-the-grove
2024-12-03,5.0,Donner,Bedpan,ao-dmz,1stf,3.0,ao-dmz
2024-12-04,5.0,Donner,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-05,5.0,Donner,Bedpan,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-12-07,5.0,Donner,Bedpan,,Around The World,5.0,"('ao-black-diamond', 'ao-the-grove', 'ao-dmz', 'ao-the-colosseum', 'ao-da-grizz')"
