rank,user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
1,Dog House,Dasher,20,383,50,60,<NA>,<NA>,<NA>
2,Meta,Comet,20,382,50,63,<NA>,<NA>,<NA>
3,Dauber,Comet,20,381,50,63,<NA>,<NA>,<NA>
4,Mahomes,Comet,20,340,41,63,<NA>,<NA>,<NA>
5,Manhole,Comet,20,336,41,63,<NA>,<NA>,<NA>
6,Hank Hill,Prancer,10,330,41,63,<NA>,<NA>,<NA>
7,Spit Valve,Prancer,10,328,41,66,<NA>,<NA>,<NA>
8,Hot Lava,Comet,10,326,41,63,<NA>,<NA>,<NA>
9,Scratch and Dent,Dasher,20,323,38,62,<NA>,<NA>,<NA>
10,Hodl,Dancer,20,307,35,61,<NA>,<NA>,<NA>
11,Depends (3rdF Q),Prancer,10,286,33,61,<NA>,<NA>,<NA>
12,Bob Villa,Comet,0,283,39,60,<NA>,<NA>,<NA>
13,Boomer,Prancer,20,271,29,53,<NA>,<NA>,<NA>
14,Chum Bucket,Donner,20,269,27,41,<NA>,<NA>,<NA>
15,Cutler,Dancer,20,264,29,61,<NA>,<NA>,<NA>
16,Sparky,Dancer,20,255,23,63,<NA>,<NA>,<NA>
17,Ricola,Rudolph,20,248,28,45,<NA>,<NA>,<NA>
18,Peterbilt,Comet,0,234,38,8,<NA>,<NA>,<NA>
19,Happy Camper,Comet,20,231,23,41,<NA>,<NA>,<NA>
20,Foghorn,Dancer,20,221,23,42,<NA>,<NA>,<NA>
21,Soft Hands,Cupid,10,220,24,57,<NA>,<NA>,<NA>
22,Zimmer,Dasher,10,219,26,41,<NA>,<NA>,<NA>
23,Schlitz,Blitzen,10,213,21,41,<NA>,<NA>,<NA>
24,Dilbert,Prancer,0,212,20,48,<NA>,<NA>,<NA>
25,Ricochet,Dancer,0,211,28,63,<NA>,<NA>,<NA>
25,Doozie,Dasher,10,211,23,44,<NA>,<NA>,<NA>
26,Norm,Dasher,20,210,24,48,<NA>,<NA>,<NA>
27,Pull-up,Comet,10,209,20,50,<NA>,<NA>,<NA>
27,Cinderella,Dancer,20,209,23,40,<NA>,<NA>,<NA>
28,Nemo,Prancer,10,206,23,49,<NA>,<NA>,<NA>
29,Duck Hunt,Cupid,10,205,25,54,<NA>,<NA>,<NA>
30,YellowPages,Prancer,10,203,24,26,<NA>,<NA>,<NA>
30,Storm Chaser,Donner,0,203,28,32,<NA>,<NA>,<NA>
31,Blue Gill,Vixen,0,196,25,25,<NA>,<NA>,<NA>
32,Juanita,Donner,20,195,22,42,<NA>,<NA>,<NA>
33,BABYMOMMA,Dasher,10,190,22,39,<NA>,<NA>,<NA>
34,Pop-Tart,Dancer,0,189,26,20,<NA>,<NA>,<NA>
35,Phoenix,Dancer,0,187,28,9,<NA>,<NA>,<NA>
35,Bedpan,Donner,0,187,21,31,<NA>,<NA>,<NA>
36,Ringo,Rudolph,20,186,20,19,<NA>,<NA>,<NA>
37,UPS,Dasher,0,178,22,35,<NA>,<NA>,<NA>
38,Pearl,Comet,10,167,19,27,<NA>,<NA>,<NA>
39,Dilly Dilly,Vixen,0,164,22,39,<NA>,<NA>,<NA>
40,Foreclosure,Rudolph,10,161,18,45,<NA>,<NA>,<NA>
41,Napster,Rudolph,10,159,21,27,<NA>,<NA>,<NA>
42,Hanger,Donner,10,149,18,39,<NA>,<NA>,<NA>
42,Algorithm,Comet,10,149,20,20,<NA>,<NA>,<NA>
43,Mr. Kotter,Donner,10,145,22,24,<NA>,<NA>,<NA>
44,DJ Sump Pump,Comet,0,140,26,7,<NA>,<NA>,<NA>
45,fuzzy navel,Donner,10,137,10,21,<NA>,<NA>,<NA>
46,Old Maid,Dasher,0,136,18,12,<NA>,<NA>,<NA>
47,Six Sheets,Comet,0,133,20,42,3,5,<NA>
48,Sparkler,Cupid,0,131,15,48,<NA>,<NA>,<NA>
49,Celine Dion,Rudolph,0,130,22,6,<NA>,<NA>,<NA>
49,Broomstick,Vixen,10,130,16,40,<NA>,<NA>,<NA>
50,Frontier,Comet,20,129,10,27,<NA>,<NA>,<NA>
51,Singer,Cupid,10,128,18,37,<NA>,<NA>,<NA>
52,Dear Abby,Dancer,0,126,17,24,<NA>,<NA>,<NA>
