date,week,Team,type,points,notes
2025-07-12,0,Dasher,Individuals points,15.0,"['Bronco', 'Hank Hill', 'Duck Hunt', 'Large Marge']"
2025-07-12,0,Vixen,Individuals points,15.0,"['UPS', 'Cutler', 'Cowbell', 'Phoenix']"
2025-07-12,0,Unknown Team,Individuals points,21.0,"['Carmen San Diego (F3 Naperville)', 'Silo', 'Speedbag (F3 Southsid3)', 'Popeye', 'Eliot Ness', 'Slinky']"
2025-07-12,0,Rudolph,Individuals points,13.0,"['Boomer', 'Scuba Steve', 'Backstreet']"
2025-07-12,0,Prancer,Individuals points,12.0,"['Scratch and Dent', 'Schlitz', 'Sailer Moon', 'Dilly Dilly']"
2025-07-12,0,Olive,Individuals points,9.0,"['Bedpan', 'Hodl', 'Folgers']"
2025-07-12,0,Donner,Individuals points,6.0,"['Sparky', 'TPS Report']"
2025-07-12,0,Dancer,Individuals points,11.0,"['Meta', 'Homer Simpson', 'fuzzy navel']"
2025-07-12,0,Cupid,Individuals points,6.0,"['Hanger', 'Binford']"
2025-07-12,0,Comet,Individuals points,9.0,"['Bob Villa', 'Foghorn']"
2025-07-12,0,Blitzen,Individuals points,9.0,"['Mahomes', 'slackblast', 'Spit Valve']"
2025-07-13,1,Dasher,Individuals points,6.0,"['Hank Hill', 'Duck Hunt']"
2025-07-13,1,Prancer,Individuals points,3.0,['Schlitz']
2025-07-13,1,Rudolph,Individuals points,6.0,"['Backstreet', 'Deja vu']"
2025-07-13,1,Vixen,Individuals points,3.0,['Phoenix']
2025-07-13,1,Blitzen,Individuals points,3.0,['Spit Valve']
2025-07-13,1,Comet,Individuals points,3.0,['Sparkler']
2025-07-13,1,Cupid,csaup,40.0,"Ozark, Celler Dweller, TruGreen, Peterbilt, Spirit, Depends (3rdF Q), Blue Gill, Hot Lava, Algorithm, Binford, Hanger"
2025-07-13,1,Blitzen,csaup,40.0,"Mahomes, Spit Valve, John Denver, Caboose, Foreclosure, Napster, Dr. Feelgood, FINCH"
2025-07-13,1,Comet,csaup,0.0,Sparkler
2025-07-13,1,Comet,csaup,40.0,"Rooney, Ecto Cooler, Mr. Belding, Peashooter, Foghorn, Flo, Olive Oyl, Hydrant, Celine Dion, Bob Villa"
2025-07-13,1,Dancer,csaup,0.0,"Homer Simpson, Meta, fuzzy navel, Alter boy"
2025-07-14,1,Vixen,Individuals points,30.0,"['Cutler', 'Phoenix', 'Bunker', 'Tweety', 'Foundation', 'Dilbert', 'SkidMark']"
2025-07-14,1,Donner,Individuals points,13.0,"['Morticia', 'Hackman', 'Pull-up', 'Cinderella']"
2025-07-14,1,Prancer,Santa Locks,5.0,"ao-the-colosseum; Mr. Kotter, Chum Bucket, Singer, Sizzler, Dilly Dilly"
2025-07-14,1,Dasher,Individuals points,32.0,"['Hank Hill', 'Duck Hunt', 'vern', 'F3CrossroadsIL', 'Ink Jet', 'Juanita', 'Derailed', 'Pee Wee Herman']"
2025-07-14,1,Rudolph,Individuals points,27.0,"['Scuba Steve', 'Backstreet', 'The Worm', 'Zimmer', 'Six Sheets', 'Broomstick', 'Moist', 'Old Maid', 'Nemo']"
2025-07-14,1,Prancer,Individuals points,22.0,"['Scratch and Dent', 'Dilly Dilly', 'Chum Bucket', 'Mr. Kotter', 'Singer', 'Sizzler']"
2025-07-14,1,Blitzen,Individuals points,12.0,"['Mahomes', 'Spit Valve', 'John Denver', 'Caboose']"
