date,week,Team,user_name,ao,type,points,notes
2025-07-12,0,Olive,Bedpan,ao-the-ridge,1stf,3.0,
2025-07-16,1,Olive,Bedpan,downrange,1stf,3.0,
2025-07-17,1,Olive,Bedpan,ao-the-colosseum,1stf,3.0,
2025-07-17,1,Olive,Bedpan,3rd-f-qsource,qs,4.0,QS
2025-07-21,2,Olive,Bedpan,ao-the-colosseum,1stf,3.0,
2025-07-22,2,Olive,Bedpan,ao-the-ridge,1stf,3.0,
2025-07-23,2,Olive,Bedpan,ao-the-silo,1stf,3.0,
2025-07-12,0,Cupid,Hanger,ao-the-ridge,1stf,3.0,
2025-07-14,1,Cupid,Hanger,3rd-f,3rdf,5.0,3rdF
2025-07-14,1,Cupid,Hanger,ao-the-ridge,1stf,3.0,
2025-07-15,1,Cupid,Hanger,ao-the-ridge,1stf,3.0,
2025-07-17,1,Cupid,Hanger,ao-the-ridge,1stf,3.0,
2025-07-18,1,Cupid,Hanger,ao-the-grove,1stf,3.0,
2025-07-12,0,Unknown Team,Carmen San Diego (F3 Naperville),ao-the-ridge,1stf,3.0,
2025-07-12,0,Comet,Bob Villa,ao-the-ridge,1stf,3.0,
2025-07-12,0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,
2025-07-14,1,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,
2025-07-15,1,Comet,Bob Villa,ao-the-ridge,1stf,3.0,
2025-07-16,1,Comet,Bob Villa,downrange,1stf,3.0,
2025-07-17,1,Comet,Bob Villa,ao-the-colosseum,workout Q,1.0,Q
2025-07-17,1,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,
2025-07-17,1,Comet,Bob Villa,3rd-f-qsource,qs,4.0,QS
2025-07-18,1,Comet,Bob Villa,ao-the-olympiad,1stf,3.0,
2025-07-19,1,Comet,Bob Villa,,sixpack bonus,4.0,"('ao-the-colosseum', 'ao-the-ridge', 'downrange', 'ao-the-colosseum', 'ao-the-olympiad', 'ao-the-ridge')"
2025-07-19,1,Comet,Bob Villa,ao-the-ridge,1stf,3.0,
2025-07-21,2,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,
2025-07-21,2,Comet,Bob Villa,downrange,1stf,3.0,
2025-07-22,2,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,
2025-07-12,0,Dancer,Meta,ao-the-ridge,workout Q,1.0,Q
2025-07-12,0,Dancer,Meta,ao-the-ridge,1stf,3.0,
2025-07-14,1,Dancer,Meta,ao-the-ridge,1stf,3.0,
2025-07-15,1,Dancer,Meta,ao-el-coyote,1stf,3.0,
2025-07-15,1,Dancer,Meta,ao-the-ridge,1stf,3.0,
2025-07-16,1,Dancer,Meta,ao-ravens-nest,1stf,3.0,
2025-07-17,1,Dancer,Meta,ao-the-olympiad,1stf,3.0,
2025-07-17,1,Dancer,Meta,,sixpack bonus,4.0,"('ao-the-ridge', 'ao-el-coyote', 'ao-the-ridge', 'ao-ravens-nest', 'ao-the-olympiad', 'ao-el-coyote')"
2025-07-17,1,Dancer,Meta,ao-el-coyote,1stf,3.0,
2025-07-18,1,Dancer,Meta,,Around The World,5.0,"('ao-the-ridge', 'ao-el-coyote', 'ao-the-ridge', 'ao-ravens-nest', 'ao-the-olympiad', 'ao-el-coyote', 'downrange')"
2025-07-18,1,Dancer,Meta,,sixpack bonus,1.0,"('ao-the-ridge', 'ao-el-coyote', 'ao-the-ridge', 'ao-ravens-nest', 'ao-the-olympiad', 'ao-el-coyote', 'downrange')"
2025-07-18,1,Dancer,Meta,downrange,1stf,3.0,
2025-07-22,2,Dancer,Meta,3rd-f-qsource,qs,4.0,QS
2025-07-22,2,Dancer,Meta,ao-el-coyote,1stf,3.0,
2025-07-23,2,Dancer,Meta,ao-the-silo,1stf,3.0,
2025-07-12,0,Vixen,UPS,ao-the-ridge,1stf,3.0,
2025-07-12,0,Dasher,Bronco,ao-the-ridge,1stf,3.0,
2025-07-15,1,Dasher,Bronco,ao-dmz,1stf,3.0,
2025-07-23,2,Dasher,Bronco,ao-the-colosseum,1stf,3.0,
2025-07-12,0,Unknown Team,Silo,ao-the-ridge,1stf,3.0,
2025-07-12,0,Vixen,Cutler,ao-the-ridge,1stf,3.0,
2025-07-12,0,Vixen,Cutler,ao-the-colosseum,1stf,3.0,
2025-07-14,1,Vixen,Cutler,ao-the-colosseum,1stf,3.0,
2025-07-15,1,Vixen,Cutler,3rd-f-qsource,qs,4.0,QS
2025-07-15,1,Vixen,Cutler,ao-the-ridge,1stf,3.0,
2025-07-16,1,Vixen,Cutler,ao-ravens-nest,1stf,3.0,
2025-07-17,1,Vixen,Cutler,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2025-07-17,1,Vixen,Cutler,ao-the-colosseum,1stf,3.0,
2025-07-18,1,Vixen,Cutler,downrange,1stf,3.0,
2025-07-19,1,Vixen,Cutler,,sixpack bonus,4.0,"('ao-the-colosseum', 'ao-the-ridge', 'ao-ravens-nest', 'ao-the-colosseum', 'downrange', 'ao-the-ridge')"
2025-07-19,1,Vixen,Cutler,ao-the-ridge,workout Q,1.0,Q
2025-07-19,1,Vixen,Cutler,ao-the-ridge,1stf,3.0,
2025-07-19,1,Vixen,Cutler,,sixpack bonus,1.0,"('ao-the-colosseum', 'ao-the-ridge', 'ao-ravens-nest', 'ao-the-colosseum', 'downrange', 'ao-the-ridge', 'ao-the-colosseum')"
2025-07-19,1,Vixen,Cutler,ao-the-colosseum,1stf,3.0,
2025-07-21,2,Vixen,Cutler,ao-the-colosseum,1stf,3.0,
2025-07-22,2,Vixen,Cutler,3rd-f-qsource,qs,4.0,QS
2025-07-22,2,Vixen,Cutler,ao-dmz,workout Q,1.0,Q
2025-07-22,2,Vixen,Cutler,ao-dmz,1stf,3.0,
2025-07-23,2,Vixen,Cutler,ao-ravens-nest,1stf,3.0,
2025-07-12,0,Dasher,Hank Hill,ao-the-ridge,1stf,3.0,
2025-07-13,1,Dasher,Hank Hill,2nd-f,2ndf,3.0,2ndF
2025-07-14,1,Dasher,Hank Hill,3rd-f,3rdf,5.0,3rdF
2025-07-14,1,Dasher,Hank Hill,ao-the-grove,1stf,3.0,
2025-07-14,1,Dasher,Hank Hill,downrange,1stf,3.0,
